id;guid;name_en;name_ar;status;code
1;Awesome;Unbranded Account;generation Hawaii synthesize;12291;bluetooth Shilling Distributed
2;Loan hub Chair;Account;Account Shoes;37542;infrastructures extensible
3;redundant Global;Rustic;HTTP;65784;payment Manat protocol
4;Product Automotive Account;Solomon Wisconsin;JBOD Towels;49151;Rustic global
5;Bedfordshire;Arab index recontextualize;connecting alarm auxiliary;66392;Assistant XML Loaf
6;Kuwait Avon paradigm;system;Netherlands;13610;Springs Avon
7;Assistant withdrawal;Account;Public-key Brand indexing;75290;Serbian
8;programming Metal Ruble;withdrawal integrated;Small;66796;bandwidth Valleys deposit
9;Handmade;Account;Advanced Steel circuit;55759;Money RSS Sausages
10;Drive Organic;concept e-business Outdoors;USB Fresh revolutionize;93846;Architect quantifying
