id;guid;plate;anpr;rfid;data_status;gantry;lane;kph;ambush;direction;vehicle;image_lp;issue;status
1;hack transition Islands;Assimilated Profound Soft;Dong cross-platform magenta;empowering Adaptive incentivize;deposit;57954;35332;35446;98166;87128;71129;deposit;Optional auxiliary;Fresh extensible
2;Tanzania Concrete ubiquitous;copying Market;Cotton;Human Progressive;definition Unbranded;7787;54499;59059;17238;65471;90640;grey matrix;Plastic Interactions Accountability;Program Internal sky
3;Florida Plaza intangible;Card firewall parse;Chips Assurance scale;Generic Checking Seychelles;Soft Refined Response;43494;97425;93668;69424;22528;68074;Tuna Danish Refined;Refined;Face morph Function-based
4;Liaison Up-sized Networked;Human synthesizing;Chicken;Account Liaison Kwacha;Customer;71813;68196;16361;87814;41100;83443;open-source Bike Uganda;Bedfordshire e-business;Games synthesizing Gorgeous
5;Mountains;Towels;Product PCI;Markets;Dirham El monitor;8667;97966;9890;43499;95009;19833;users payment;Garden;Curve enable transform
6;deposit recontextualize SDD;Multi-tiered deposit Vanuatu;deposit Idaho Refined;input Morocco Seychelles;Metal;66700;87310;14156;5618;84408;98399;cyan;Bedfordshire e-enable;Account
7;evolve;Alabama;Franc;mobile Pines Directives;withdrawal Outdoors;92194;39439;55987;5128;2688;10214;Kina;program Practical Buckinghamshire;one-to-one incubate
8;pixel Zimbabwe Open-source;wireless;maximize Concrete Lesotho;bandwidth Plastic systems;Croatia International Cambridgeshire;1012;27320;49315;70161;29855;3821;B2C migration;Reactive indigo North;Ohio
9;Florida Principal deposit;bypass bypassing;Street IB;intangible capacitor;Account fresh-thinking;49259;30470;76186;13562;56126;932;orchestrate redundant hub;initiatives dynamic real-time;dynamic
10;Liaison SDD;array deposit Forward;functionalities violet emulation;Estonia redundant withdrawal;Dynamic;13066;16221;81404;66546;25392;64191;Chief Denmark;whiteboard Designer indexing;Spur index middleware
