id;guid;plate;anpr;rfid;data_status;gantry;lane;kph;ambush;direction;vehicle;status
1;Concrete deposit;Kwacha Avon;digital hub;withdrawal bleeding-edge;overriding Rustic;41585;83732;34878;56593;90646;35477;Table Account
2;Digitized International TCP;Jewelery Kids Functionality;purple Cotton Senior;Paradigm;integrated;67740;62368;56050;82991;63308;46350;Metical Fields
3;Avon array Chief;index Soft;PNG Virginia;Granite Kazakhstan;compress Graphic Gabon;14280;75263;82937;32354;22179;35932;programming silver
4;PNG Gibraltar;payment;Dollar;ubiquitous;Luxembourg Gloves;70155;49887;42963;76837;10431;93191;haptic
5;copy Regional auxiliary;array eyeballs;Consultant Identity users;Soft;XML Administrator infomediaries;2950;35856;755;21548;39625;17703;plug-and-play
6;magnetic Portugal Vanuatu;withdrawal;COM parse;Internal monetize tan;Berkshire Supervisor;61819;46458;9895;95691;52033;93412;Re-engineered red Front-line
7;Jersey innovate;Senior Chair;target Interactions;Human;Hawaii;38973;9026;90007;56998;60500;75882;ROI Credit
8;Supervisor Cotton;pixel Fish;Chad backing;Producer;holistic e-commerce bypass;37643;66959;45571;84090;53907;84427;Account
9;Frozen Advanced;paradigms wireless;Consultant transparent Regional;Account Bedfordshire mobile;yellow Functionality revolutionize;69135;20763;45398;52814;35423;9547;Knoll 1080p
10;scale;initiative markets;Mexico quantify;cross-platform bus;Loan;25244;69525;61426;77168;78535;38126;Administrator Grocery withdrawal
